boss_id,模式,内容,等级,目标层,Boss类型,Boss类型中文,移动类型,移动类型中文,Boss标识,QuestBoss名称,QuestBoss名称Key,图标标识,HP,护盾,防御,移速,缩放值,掉落金币,掉落魔力石,首次定位,定位样本,定位数量,自定义参数_原始,自定义参数数量,自定义参数1,自定义参数2,自定义参数3,自定义参数4,自定义参数5,自定义参数6
60350,Normal,BeachBreakout,50,3,LineBoss,关卡Boss,Ground,地面,Boss_HolyKnight_BeachBreakout,,,,21836500,0,0,1.4,0,500,250,海滩波次 | 层:3 | 波次:50 | Boss:1 | 时长:60.9s,海滩波次 | 层:3 | 波次:50 | Boss:1 | 时长:60.9s,1,0|0|0|0,4,0,0,0,0,,
60410,Normal,BeachBreakout,10,4,LineBoss,关卡Boss,Ground,地面,Boss_Warrior_BeachBreakout,,,,127500,0,0,1,0,200,100,海滩波次 | 层:4 | 波次:10 | Boss:1 | 时长:30.9s,海滩波次 | 层:4 | 波次:10 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60420,Normal,BeachBreakout,20,4,LineBoss,关卡Boss,Ground,地面,Boss_Thief_BeachBreakout,,,,365500,0,0,1.1,0,250,125,海滩波次 | 层:4 | 波次:20 | Boss:1 | 时长:30.9s,海滩波次 | 层:4 | 波次:20 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60430,Normal,BeachBreakout,30,4,LineBoss,关卡Boss,Ground,地面,Boss_Hunter_BeachBreakout,,,,1946500,0,0,1.2,0,300,150,海滩波次 | 层:4 | 波次:30 | Boss:1 | 时长:30.9s,海滩波次 | 层:4 | 波次:30 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60440,Normal,BeachBreakout,40,4,LineBoss,关卡Boss,Ground,地面,Boss_Saint_BeachBreakout,,,,8874000,0,0,1.3,0,400,200,海滩波次 | 层:4 | 波次:40 | Boss:1 | 时长:30.9s,海滩波次 | 层:4 | 波次:40 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60450,Normal,BeachBreakout,50,4,LineBoss,关卡Boss,Ground,地面,Boss_HolyKnight_BeachBreakout,,,,38437000,0,0,1.4,0,500,250,海滩波次 | 层:4 | 波次:50 | Boss:1 | 时长:60.9s,海滩波次 | 层:4 | 波次:50 | Boss:1 | 时长:60.9s,1,0|0|0|0,4,0,0,0,0,,
60510,Normal,BeachBreakout,10,5,LineBoss,关卡Boss,Ground,地面,Boss_Warrior_BeachBreakout,,,,161500,0,0,1,0,200,100,海滩波次 | 层:5 | 波次:10 | Boss:1 | 时长:30.9s,海滩波次 | 层:5 | 波次:10 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60520,Normal,BeachBreakout,20,5,LineBoss,关卡Boss,Ground,地面,Boss_Thief_BeachBreakout,,,,450500,0,0,1.1,0,250,125,海滩波次 | 层:5 | 波次:20 | Boss:1 | 时长:30.9s,海滩波次 | 层:5 | 波次:20 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60530,Normal,BeachBreakout,30,5,LineBoss,关卡Boss,Ground,地面,Boss_Hunter_BeachBreakout,,,,2405500,0,0,1.2,0,300,150,海滩波次 | 层:5 | 波次:30 | Boss:1 | 时长:30.9s,海滩波次 | 层:5 | 波次:30 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60540,Normal,BeachBreakout,40,5,LineBoss,关卡Boss,Ground,地面,Boss_Saint_BeachBreakout,,,,10939500,0,0,1.3,0,400,200,海滩波次 | 层:5 | 波次:40 | Boss:1 | 时长:30.9s,海滩波次 | 层:5 | 波次:40 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60550,Normal,BeachBreakout,50,5,LineBoss,关卡Boss,Ground,地面,Boss_HolyKnight_BeachBreakout,,,,47413000,0,0,1.4,0,500,250,海滩波次 | 层:5 | 波次:50 | Boss:1 | 时长:60.9s,海滩波次 | 层:5 | 波次:50 | Boss:1 | 时长:60.9s,1,0|0|0|0,4,0,0,0,0,,
60610,Normal,BeachBreakout,10,6,LineBoss,关卡Boss,Ground,地面,Boss_Warrior_BeachBreakout,,,,187000,0,0,1,0,200,100,海滩波次 | 层:6 | 波次:10 | Boss:1 | 时长:30.9s,海滩波次 | 层:6 | 波次:10 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60620,Normal,BeachBreakout,20,6,LineBoss,关卡Boss,Ground,地面,Boss_Thief_BeachBreakout,,,,535500,0,0,1.1,0,250,125,海滩波次 | 层:6 | 波次:20 | Boss:1 | 时长:30.9s,海滩波次 | 层:6 | 波次:20 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60630,Normal,BeachBreakout,30,6,LineBoss,关卡Boss,Ground,地面,Boss_Hunter_BeachBreakout,,,,2873000,0,0,1.2,0,300,150,海滩波次 | 层:6 | 波次:30 | Boss:1 | 时长:30.9s,海滩波次 | 层:6 | 波次:30 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60640,Normal,BeachBreakout,40,6,LineBoss,关卡Boss,Ground,地面,Boss_Saint_BeachBreakout,,,,13090000,0,0,1.3,0,400,200,海滩波次 | 层:6 | 波次:40 | Boss:1 | 时长:30.9s,海滩波次 | 层:6 | 波次:40 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60650,Normal,BeachBreakout,50,6,LineBoss,关卡Boss,Ground,地面,Boss_HolyKnight_BeachBreakout,,,,56686500,0,0,1.4,0,500,250,海滩波次 | 层:6 | 波次:50 | Boss:1 | 时长:60.9s,海滩波次 | 层:6 | 波次:50 | Boss:1 | 时长:60.9s,1,0|0|0|0,4,0,0,0,0,,
60710,Normal,BeachBreakout,10,7,LineBoss,关卡Boss,Ground,地面,Boss_Warrior_BeachBreakout,,,,229500,0,0,1,0,200,100,海滩波次 | 层:7 | 波次:10 | Boss:1 | 时长:30.9s,海滩波次 | 层:7 | 波次:10 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60720,Normal,BeachBreakout,20,7,LineBoss,关卡Boss,Ground,地面,Boss_Thief_BeachBreakout,,,,654500,0,0,1.1,0,250,125,海滩波次 | 层:7 | 波次:20 | Boss:1 | 时长:30.9s,海滩波次 | 层:7 | 波次:20 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60730,Normal,BeachBreakout,30,7,LineBoss,关卡Boss,Ground,地面,Boss_Hunter_BeachBreakout,,,,3510500,0,0,1.2,0,300,150,海滩波次 | 层:7 | 波次:30 | Boss:1 | 时长:30.9s,海滩波次 | 层:7 | 波次:30 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60740,Normal,BeachBreakout,40,7,LineBoss,关卡Boss,Ground,地面,Boss_Saint_BeachBreakout,,,,15988500,0,0,1.3,0,400,200,海滩波次 | 层:7 | 波次:40 | Boss:1 | 时长:30.9s,海滩波次 | 层:7 | 波次:40 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60750,Normal,BeachBreakout,50,7,LineBoss,关卡Boss,Ground,地面,Boss_HolyKnight_BeachBreakout,,,,69258000,0,0,1.4,0,500,250,海滩波次 | 层:7 | 波次:50 | Boss:1 | 时长:60.9s,海滩波次 | 层:7 | 波次:50 | Boss:1 | 时长:60.9s,1,0|0|0|0,4,0,0,0,0,,
60810,Normal,BeachBreakout,10,8,LineBoss,关卡Boss,Ground,地面,Boss_Warrior_BeachBreakout,,,,289000,0,0,1,0,200,100,海滩波次 | 层:8 | 波次:10 | Boss:1 | 时长:30.9s,海滩波次 | 层:8 | 波次:10 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60820,Normal,BeachBreakout,20,8,LineBoss,关卡Boss,Ground,地面,Boss_Thief_BeachBreakout,,,,816000,0,0,1.1,0,250,125,海滩波次 | 层:8 | 波次:20 | Boss:1 | 时长:30.9s,海滩波次 | 层:8 | 波次:20 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60830,Normal,BeachBreakout,30,8,LineBoss,关卡Boss,Ground,地面,Boss_Hunter_BeachBreakout,,,,4411500,0,0,1.2,0,300,150,海滩波次 | 层:8 | 波次:30 | Boss:1 | 时长:30.9s,海滩波次 | 层:8 | 波次:30 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60840,Normal,BeachBreakout,40,8,LineBoss,关卡Boss,Ground,地面,Boss_Saint_BeachBreakout,,,,20094000,0,0,1.3,0,400,200,海滩波次 | 层:8 | 波次:40 | Boss:1 | 时长:30.9s,海滩波次 | 层:8 | 波次:40 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60850,Normal,BeachBreakout,50,8,LineBoss,关卡Boss,Ground,地面,Boss_HolyKnight_BeachBreakout,,,,99467000,0,0,1.4,0,500,250,海滩波次 | 层:8 | 波次:50 | Boss:1 | 时长:60.9s,海滩波次 | 层:8 | 波次:50 | Boss:1 | 时长:60.9s,1,0|0|0|0,4,0,0,0,0,,
60910,Normal,BeachBreakout,10,9,LineBoss,关卡Boss,Ground,地面,Boss_Warrior_BeachBreakout,,,,348500,0,0,1,0,200,100,海滩波次 | 层:9 | 波次:10 | Boss:1 | 时长:30.9s,海滩波次 | 层:9 | 波次:10 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60920,Normal,BeachBreakout,20,9,LineBoss,关卡Boss,Ground,地面,Boss_Thief_BeachBreakout,,,,994500,0,0,1.1,0,250,125,海滩波次 | 层:9 | 波次:20 | Boss:1 | 时长:30.9s,海滩波次 | 层:9 | 波次:20 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60930,Normal,BeachBreakout,30,9,LineBoss,关卡Boss,Ground,地面,Boss_Hunter_BeachBreakout,,,,5338000,0,0,1.2,0,300,150,海滩波次 | 层:9 | 波次:30 | Boss:1 | 时长:30.9s,海滩波次 | 层:9 | 波次:30 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60940,Normal,BeachBreakout,40,9,LineBoss,关卡Boss,Ground,地面,Boss_Saint_BeachBreakout,,,,24293000,0,0,1.3,0,400,200,海滩波次 | 层:9 | 波次:40 | Boss:1 | 时长:30.9s,海滩波次 | 层:9 | 波次:40 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
60950,Normal,BeachBreakout,50,9,LineBoss,关卡Boss,Ground,地面,Boss_HolyKnight_BeachBreakout,,,,120241000,0,0,1.4,0,500,250,海滩波次 | 层:9 | 波次:50 | Boss:1 | 时长:60.9s,海滩波次 | 层:9 | 波次:50 | Boss:1 | 时长:60.9s,1,0|0|0|0,4,0,0,0,0,,
61010,Normal,BeachBreakout,10,10,LineBoss,关卡Boss,Ground,地面,Boss_Warrior_BeachBreakout,,,,433500,0,0,1,0,200,100,海滩波次 | 层:10 | 波次:10 | Boss:1 | 时长:30.9s,海滩波次 | 层:10 | 波次:10 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
61020,Normal,BeachBreakout,20,10,LineBoss,关卡Boss,Ground,地面,Boss_Thief_BeachBreakout,,,,1224000,0,0,1.1,0,250,125,海滩波次 | 层:10 | 波次:20 | Boss:1 | 时长:30.9s,海滩波次 | 层:10 | 波次:20 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
61030,Normal,BeachBreakout,30,10,LineBoss,关卡Boss,Ground,地面,Boss_Hunter_BeachBreakout,,,,6570500,0,0,1.2,0,300,150,海滩波次 | 层:10 | 波次:30 | Boss:1 | 时长:30.9s,海滩波次 | 层:10 | 波次:30 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
61040,Normal,BeachBreakout,40,10,LineBoss,关卡Boss,Ground,地面,Boss_Saint_BeachBreakout,,,,29945500,0,0,1.3,0,400,200,海滩波次 | 层:10 | 波次:40 | Boss:1 | 时长:30.9s,海滩波次 | 层:10 | 波次:40 | Boss:1 | 时长:30.9s,1,0|0|0|0,4,0,0,0,0,,
61050,Normal,BeachBreakout,50,10,LineBoss,关卡Boss,Ground,地面,Boss_HolyKnight_BeachBreakout,,,,185317000,0,0,1.4,0,500,250,海滩波次 | 层:10 | 波次:50 | Boss:1 | 时长:60.9s,海滩波次 | 层:10 | 波次:50 | Boss:1 | 时长:60.9s,1,0|0|0|0,4,0,0,0,0,,
61110,Normal,BeachBreakout,10,11,LineBoss,关卡Boss,Ground,地面,Boss_Warrior_BeachBreakout,,,,900000,225000,0,1.1,0,200,100,海滩波次 | 层:11 | 波次:10 | Boss:1 | 时长:30.9s,海滩波次 | 层:11 | 波次:10 | Boss:1 | 时长:30.9s,1,10|4|0|0,4,10,4,0,0,,
61120,Normal,BeachBreakout,20,11,LineBoss,关卡Boss,Ground,地面,Boss_Thief_BeachBreakout,,,,3031200,757800,0,1.2,0,250,125,海滩波次 | 层:11 | 波次:20 | Boss:1 | 时长:30.9s,海滩波次 | 层:11 | 波次:20 | Boss:1 | 时长:30.9s,1,10|6|0|0,4,10,6,0,0,,
61130,Normal,BeachBreakout,30,11,LineBoss,关卡Boss,Ground,地面,Boss_Hunter_BeachBreakout,,,,13572000,3393000,0,1.3,0,300,150,海滩波次 | 层:11 | 波次:30 | Boss:1 | 时长:30.9s,海滩波次 | 层:11 | 波次:30 | Boss:1 | 时长:30.9s,1,10|8|0|0,4,10,8,0,0,,
61140,Normal,BeachBreakout,40,11,LineBoss,关卡Boss,Ground,地面,Boss_Saint_BeachBreakout,,,,39369600,9842400,0,1.4,0,400,200,海滩波次 | 层:11 | 波次:40 | Boss:1 | 时长:30.9s,海滩波次 | 层:11 | 波次:40 | Boss:1 | 时长:30.9s,1,10|10|0|0,4,10,10,0,0,,
61150,Normal,BeachBreakout,50,11,LineBoss,关卡Boss,Ground,地面,Boss_HolyKnight_BeachBreakout,,,,459237600,114809400,0,1.5,0,500,250,海滩波次 | 层:11 | 波次:50 | Boss:1 | 时长:60.9s,海滩波次 | 层:11 | 波次:50 | Boss:1 | 时长:60.9s,1,10|12|0|0,4,10,12,0,0,,
61210,Normal,BeachBreakout,10,12,LineBoss,关卡Boss,Ground,地面,Boss_Warrior_BeachBreakout,,,,1022400,255600,0,1.1,0,200,100,海滩波次 | 层:12 | 波次:10 | Boss:1 | 时长:30.9s,海滩波次 | 层:12 | 波次:10 | Boss:1 | 时长:30.9s,1,10|4|0|0,4,10,4,0,0,,
61220,Normal,BeachBreakout,20,12,LineBoss,关卡Boss,Ground,地面,Boss_Thief_BeachBreakout,,,,3456000,864000,0,1.2,0,250,125,海滩波次 | 层:12 | 波次:20 | Boss:1 | 时长:30.9s,海滩波次 | 层:12 | 波次:20 | Boss:1 | 时长:30.9s,1,10|6|0|0,4,10,6,0,0,,
61230,Normal,BeachBreakout,30,12,LineBoss,关卡Boss,Ground,地面,Boss_Hunter_BeachBreakout,,,,15494400,3873600,0,1.3,0,300,150,海滩波次 | 层:12 | 波次:30 | Boss:1 | 时长:30.9s,海滩波次 | 层:12 | 波次:30 | Boss:1 | 时长:30.9s,1,10|8|0|0,4,10,8,0,0,,
61240,Normal,BeachBreakout,40,12,LineBoss,关卡Boss,Ground,地面,Boss_Saint_BeachBreakout,,,,43632000,10908000,0,1.4,0,400,200,海滩波次 | 层:12 | 波次:40 | Boss:1 | 时长:30.9s,海滩波次 | 层:12 | 波次:40 | Boss:1 | 时长:30.9s,1,10|10|0|0,4,10,10,0,0,,
61250,Normal,BeachBreakout,50,12,LineBoss,关卡Boss,Ground,地面,Boss_HolyKnight_BeachBreakout,,,,523814400,130953600,0,1.5,0,500,250,海滩波次 | 层:12 | 波次:50 | Boss:1 | 时长:60.9s,海滩波次 | 层:12 | 波次:50 | Boss:1 | 时长:60.9s,1,10|12|0|0,4,10,12,0,0,,
61310,Normal,BeachBreakout,10,13,LineBoss,关卡Boss,Ground,地面,Boss_Warrior_BeachBreakout,,,,1166400,291600,0,1.1,0,200,100,海滩波次 | 层:13 | 波次:10 | Boss:1 | 时长:30.9s,海滩波次 | 层:13 | 波次:10 | Boss:1 | 时长:30.9s,1,10|4|0|0,4,10,4,0,0,,
61320,Normal,BeachBreakout,20,13,LineBoss,关卡Boss,Ground,地面,Boss_Thief_BeachBreakout,,,,3938400,984600,0,1.2,0,250,125,海滩波次 | 层:13 | 波次:20 | Boss:1 | 时长:30.9s,海滩波次 | 层:13 | 波次:20 | Boss:1 | 时长:30.9s,1,10|6|0|0,4,10,6,0,0,,
61330,Normal,BeachBreakout,30,13,LineBoss,关卡Boss,Ground,地面,Boss_Hunter_BeachBreakout,,,,17661600,4415400,0,1.3,0,300,150,海滩波次 | 层:13 | 波次:30 | Boss:1 | 时长:30.9s,海滩波次 | 层:13 | 波次:30 | Boss:1 | 时长:30.9s,1,10|8|0|0,4,10,8,0,0,,
61340,Normal,BeachBreakout,40,13,LineBoss,关卡Boss,Ground,地面,Boss_Saint_BeachBreakout,,,,48348000,12087000,0,1.4,0,400,200,海滩波次 | 层:13 | 波次:40 | Boss:1 | 时长:30.9s,海滩波次 | 层:13 | 波次:40 | Boss:1 | 时长:30.9s,1,10|10|0|0,4,10,10,0,0,,
61350,Normal,BeachBreakout,50,13,LineBoss,关卡Boss,Ground,地面,Boss_HolyKnight_BeachBreakout,,,,597146400,149286600,0,1.5,0,500,250,海滩波次 | 层:13 | 波次:50 | Boss:1 | 时长:60.9s,海滩波次 | 层:13 | 波次:50 | Boss:1 | 时长:60.9s,1,10|12|0|0,4,10,12,0,0,,
61410,Normal,BeachBreakout,10,14,LineBoss,关卡Boss,Ground,地面,Boss_Warrior_BeachBreakout,,,,1281600,320400,0,1.1,0,200,100,海滩波次 | 层:14 | 波次:10 | Boss:1 | 时长:30.9s,海滩波次 | 层:14 | 波次:10 | Boss:1 | 时长:30.9s,1,10|4|0|0,4,10,4,0,0,,
61420,Normal,BeachBreakout,20,14,LineBoss,关卡Boss,Ground,地面,Boss_Thief_BeachBreakout,,,,4334400,1083600,0,1.2,0,250,125,海滩波次 | 层:14 | 波次:20 | Boss:1 | 时长:30.9s,海滩波次 | 层:14 | 波次:20 | Boss:1 | 时长:30.9s,1,10|6|0|0,4,10,6,0,0,,
61430,Normal,BeachBreakout,30,14,LineBoss,关卡Boss,Ground,地面,Boss_Hunter_BeachBreakout,,,,19411200,4852800,0,1.3,0,300,150,海滩波次 | 层:14 | 波次:30 | Boss:1 | 时长:30.9s,海滩波次 | 层:14 | 波次:30 | Boss:1 | 时长:30.9s,1,10|8|0|0,4,10,8,0,0,,
61440,Normal,BeachBreakout,40,14,LineBoss,关卡Boss,Ground,地面,Boss_Saint_BeachBreakout,,,,51717600,12929400,0,1.4,0,400,200,海滩波次 | 层:14 | 波次:40 | Boss:1 | 时长:30.9s,海滩波次 | 层:14 | 波次:40 | Boss:1 | 时长:30.9s,1,10|10|0|0,4,10,10,0,0,,
61450,Normal,BeachBreakout,50,14,LineBoss,关卡Boss,Ground,地面,Boss_HolyKnight_BeachBreakout,,,,656496000,164124000,0,1.5,0,500,250,海滩波次 | 层:14 | 波次:50 | Boss:1 | 时长:60.9s,海滩波次 | 层:14 | 波次:50 | Boss:1 | 时长:60.9s,1,10|12|0|0,4,10,12,0,0,,
61510,Normal,BeachBreakout,10,15,LineBoss,关卡Boss,Ground,地面,Boss_Warrior_BeachBreakout,,,,1418400,354600,0,1.1,0,200,100,海滩波次 | 层:15 | 波次:10 | Boss:1 | 时长:30.9s,海滩波次 | 层:15 | 波次:10 | Boss:1 | 时长:30.9s,1,10|4|0|0,4,10,4,0,0,,
61520,Normal,BeachBreakout,20,15,LineBoss,关卡Boss,Ground,地面,Boss_Thief_BeachBreakout,,,,4788000,1197000,0,1.2,0,250,125,海滩波次 | 层:15 | 波次:20 | Boss:1 | 时长:30.9s,海滩波次 | 层:15 | 波次:20 | Boss:1 | 时长:30.9s,1,10|6|0|0,4,10,6,0,0,,
61530,Normal,BeachBreakout,30,15,LineBoss,关卡Boss,Ground,地面,Boss_Hunter_BeachBreakout,,,,21484800,5371200,0,1.3,0,300,150,海滩波次 | 层:15 | 波次:30 | Boss:1 | 时长:30.9s,海滩波次 | 层:15 | 波次:30 | Boss:1 | 时长:30.9s,1,10|8|0|0,4,10,8,0,0,,
61540,Normal,BeachBreakout,40,15,LineBoss,关卡Boss,Ground,地面,Boss_Saint_BeachBreakout,,,,55742400,13935600,0,1.4,0,400,200,海滩波次 | 层:15 | 波次:40 | Boss:1 | 时长:30.9s,海滩波次 | 层:15 | 波次:40 | Boss:1 | 时长:30.9s,1,10|10|0|0,4,10,10,0,0,,
61550,Normal,BeachBreakout,50,15,LineBoss,关卡Boss,Ground,地面,Boss_HolyKnight_BeachBreakout,,,,726688800,181672200,0,1.5,0,500,250,海滩波次 | 层:15 | 波次:50 | Boss:1 | 时长:60.9s,海滩波次 | 层:15 | 波次:50 | Boss:1 | 时长:60.9s,1,10|12|0|0,4,10,12,0,0,,
