enemy_id,模式,内容,等级,目标层,类型,类型中文,移动类型,移动类型中文,怪物标识,图标标识,HP,护盾,防御,移速,缩放值,掉落金币,掉落魔力石,首次定位,定位样本,定位数量,自定义参数_原始,自定义参数数量
60101,Normal,BeachBreakout,1,1,Monster,普通敌人,Ground,地面,Enemy_Archer_BeachBreakout,,26,0,0,1,0,0,0,海滩波次 | 层:1 | 波次:1 | 小怪:30 | 时长:10.9s,海滩波次 | 层:1 | 波次:1 | 小怪:30 | 时长:10.9s,1,0,0
60113,Normal,BeachBreakout,13,1,Monster,普通敌人,Ground,地面,Enemy_Viking_BeachBreakout,,1216,0,0,1.1,0,0,0,海滩波次 | 层:1 | 波次:13 | 小怪:30 | 时长:10.9s,海滩波次 | 层:1 | 波次:13 | 小怪:30 | 时长:10.9s,1,0,0
60114,Normal,BeachBreakout,14,1,Monster,普通敌人,Ground,地面,Enemy_Warrior_BeachBreakout,,1581,0,0,1.1,0,0,0,海滩波次 | 层:1 | 波次:14 | 小怪:30 | 时长:10.9s,海滩波次 | 层:1 | 波次:14 | 小怪:30 | 时长:10.9s,1,0,0
60115,Normal,BeachBreakout,15,1,Monster,普通敌人,Ground,地面,Enemy_BonusGoldMiner_BeachBreakout,,2057,0,0,1.1,0,0,0,海滩波次 | 层:1 | 波次:15 | 小怪:30 | 时长:10.9s,海滩波次 | 层:1 | 波次:15 | 小怪:30 | 时长:10.9s,1,0,0
60116,Normal,BeachBreakout,16,1,Monster,普通敌人,Ground,地面,Enemy_Wizard_BeachBreakout,,2669,0,0,1.1,0,0,0,海滩波次 | 层:1 | 波次:16 | 小怪:30 | 时长:10.9s,海滩波次 | 层:1 | 波次:16 | 小怪:30 | 时长:10.9s,1,0,0
60117,Normal,BeachBreakout,17,1,Monster,普通敌人,Ground,地面,Enemy_Warrior_BeachBreakout,,3468,0,0,1.1,0,0,0,海滩波次 | 层:1 | 波次:17 | 小怪:30 | 时长:10.9s,海滩波次 | 层:1 | 波次:17 | 小怪:30 | 时长:10.9s,1,0,0
60118,Normal,BeachBreakout,18,1,Monster,普通敌人,Ground,地面,Enemy_Thief_BeachBreakout,,4514,0,0,1.1,0,0,0,海滩波次 | 层:1 | 波次:18 | 小怪:30 | 时长:10.9s,海滩波次 | 层:1 | 波次:18 | 小怪:30 | 时长:10.9s,1,0,0
60119,Normal,BeachBreakout,19,1,Monster,普通敌人,Ground,地面,Enemy_Viking_BeachBreakout,,5865,0,0,1.1,0,0,0,海滩波次 | 层:1 | 波次:19 | 小怪:30 | 时长:10.9s,海滩波次 | 层:1 | 波次:19 | 小怪:30 | 时长:10.9s,1,0,0
60121,Normal,BeachBreakout,21,1,Monster,普通敌人,Ground,地面,Enemy_Archer_BeachBreakout,,6452,0,0,1.2,0,0,0,海滩波次 | 层:1 | 波次:21 | 小怪:30 | 时长:12.9s,海滩波次 | 层:1 | 波次:21 | 小怪:30 | 时长:12.9s,1,0,0
60122,Normal,BeachBreakout,22,1,Monster,普通敌人,Ground,地面,Enemy_Thief_BeachBreakout,,8390,0,0,1.2,0,0,0,海滩波次 | 层:1 | 波次:22 | 小怪:30 | 时长:12.9s,海滩波次 | 层:1 | 波次:22 | 小怪:30 | 时长:12.9s,1,0,0
60123,Normal,BeachBreakout,23,1,Monster,普通敌人,Ground,地面,Enemy_Viking_BeachBreakout,,10481,0,0,1.2,0,0,0,海滩波次 | 层:1 | 波次:23 | 小怪:30 | 时长:12.9s,海滩波次 | 层:1 | 波次:23 | 小怪:30 | 时长:12.9s,1,0,0
60124,Normal,BeachBreakout,24,1,Monster,普通敌人,Ground,地面,Enemy_Warrior_BeachBreakout,,13107,0,0,1.2,0,0,0,海滩波次 | 层:1 | 波次:24 | 小怪:30 | 时长:12.9s,海滩波次 | 层:1 | 波次:24 | 小怪:30 | 时长:12.9s,1,0,0
60125,Normal,BeachBreakout,25,1,Monster,普通敌人,Ground,地面,Enemy_BonusGoldMiner_BeachBreakout,,16380,0,0,1.2,0,0,0,海滩波次 | 层:1 | 波次:25 | 小怪:30 | 时长:12.9s,海滩波次 | 层:1 | 波次:25 | 小怪:30 | 时长:12.9s,1,0,0
60126,Normal,BeachBreakout,26,1,Monster,普通敌人,Ground,地面,Enemy_Wizard_BeachBreakout,,20477,0,0,1.2,0,0,0,海滩波次 | 层:1 | 波次:26 | 小怪:30 | 时长:12.9s,海滩波次 | 层:1 | 波次:26 | 小怪:30 | 时长:12.9s,1,0,0
60127,Normal,BeachBreakout,27,1,Monster,普通敌人,Ground,地面,Enemy_Warrior_BeachBreakout,,25594,0,0,1.2,0,0,0,海滩波次 | 层:1 | 波次:27 | 小怪:30 | 时长:12.9s,海滩波次 | 层:1 | 波次:27 | 小怪:30 | 时长:12.9s,1,0,0
60128,Normal,BeachBreakout,28,1,Monster,普通敌人,Ground,地面,Enemy_Thief_BeachBreakout,,31986,0,0,1.2,0,0,0,海滩波次 | 层:1 | 波次:28 | 小怪:30 | 时长:12.9s,海滩波次 | 层:1 | 波次:28 | 小怪:30 | 时长:12.9s,1,0,0
60129,Normal,BeachBreakout,29,1,Monster,普通敌人,Ground,地面,Enemy_Viking_BeachBreakout,,39984,0,0,1.2,0,0,0,海滩波次 | 层:1 | 波次:29 | 小怪:30 | 时长:12.9s,海滩波次 | 层:1 | 波次:29 | 小怪:30 | 时长:12.9s,1,0,0
60131,Normal,BeachBreakout,31,1,Monster,普通敌人,Ground,地面,Enemy_Archer_BeachBreakout,,43988,0,0,1.3,0,0,0,海滩波次 | 层:1 | 波次:31 | 小怪:30 | 时长:12.9s,海滩波次 | 层:1 | 波次:31 | 小怪:30 | 时长:12.9s,1,0,0
60132,Normal,BeachBreakout,32,1,Monster,普通敌人,Ground,地面,Enemy_Thief_BeachBreakout,,57180,0,0,1.3,0,0,0,海滩波次 | 层:1 | 波次:32 | 小怪:30 | 时长:12.9s,海滩波次 | 层:1 | 波次:32 | 小怪:30 | 时长:12.9s,1,0,0
60133,Normal,BeachBreakout,33,1,Monster,普通敌人,Ground,地面,Enemy_Viking_BeachBreakout,,71477,0,0,1.3,0,0,0,海滩波次 | 层:1 | 波次:33 | 小怪:30 | 时长:12.9s,海滩波次 | 层:1 | 波次:33 | 小怪:30 | 时长:12.9s,1,0,0
60134,Normal,BeachBreakout,34,1,Monster,普通敌人,Ground,地面,Enemy_Warrior_BeachBreakout,,89344,0,0,1.3,0,0,0,海滩波次 | 层:1 | 波次:34 | 小怪:30 | 时长:12.9s,海滩波次 | 层:1 | 波次:34 | 小怪:30 | 时长:12.9s,1,0,0
60135,Normal,BeachBreakout,35,1,Monster,普通敌人,Ground,地面,Enemy_BonusGoldMiner_BeachBreakout,,111682,0,0,1.3,0,0,0,海滩波次 | 层:1 | 波次:35 | 小怪:30 | 时长:12.9s,海滩波次 | 层:1 | 波次:35 | 小怪:30 | 时长:12.9s,1,0,0
60136,Normal,BeachBreakout,36,1,Monster,普通敌人,Ground,地面,Enemy_Wizard_BeachBreakout,,139604,0,0,1.3,0,0,0,海滩波次 | 层:1 | 波次:36 | 小怪:30 | 时长:12.9s,海滩波次 | 层:1 | 波次:36 | 小怪:30 | 时长:12.9s,1,0,0
60137,Normal,BeachBreakout,37,1,Monster,普通敌人,Ground,地面,Enemy_Warrior_BeachBreakout,,174505,0,0,1.3,0,0,0,海滩波次 | 层:1 | 波次:37 | 小怪:30 | 时长:12.9s,海滩波次 | 层:1 | 波次:37 | 小怪:30 | 时长:12.9s,1,0,0
60138,Normal,BeachBreakout,38,1,Monster,普通敌人,Ground,地面,Enemy_Thief_BeachBreakout,,218127,0,0,1.3,0,0,0,海滩波次 | 层:1 | 波次:38 | 小怪:30 | 时长:12.9s,海滩波次 | 层:1 | 波次:38 | 小怪:30 | 时长:12.9s,1,0,0
60139,Normal,BeachBreakout,39,1,Monster,普通敌人,Ground,地面,Enemy_Viking_BeachBreakout,,272663,0,0,1.3,0,0,0,海滩波次 | 层:1 | 波次:39 | 小怪:30 | 时长:12.9s,海滩波次 | 层:1 | 波次:39 | 小怪:30 | 时长:12.9s,1,0,0
60141,Normal,BeachBreakout,41,1,Monster,普通敌人,Ground,地面,Enemy_Archer_BeachBreakout,,299923,0,0,1.4,0,0,0,海滩波次 | 层:1 | 波次:41 | 小怪:30 | 时长:15.9s,海滩波次 | 层:1 | 波次:41 | 小怪:30 | 时长:15.9s,1,0,0
60142,Normal,BeachBreakout,42,1,Monster,普通敌人,Ground,地面,Enemy_Thief_BeachBreakout,,389904,0,0,1.4,0,0,0,海滩波次 | 层:1 | 波次:42 | 小怪:30 | 时长:15.9s,海滩波次 | 层:1 | 波次:42 | 小怪:30 | 时长:15.9s,1,0,0
60143,Normal,BeachBreakout,43,1,Monster,普通敌人,Ground,地面,Enemy_Viking_BeachBreakout,,506872,0,0,1.4,0,0,0,海滩波次 | 层:1 | 波次:43 | 小怪:30 | 时长:15.9s,海滩波次 | 层:1 | 波次:43 | 小怪:30 | 时长:15.9s,1,0,0
60144,Normal,BeachBreakout,44,1,Monster,普通敌人,Ground,地面,Enemy_Warrior_BeachBreakout,,658937,0,0,1.4,0,0,0,海滩波次 | 层:1 | 波次:44 | 小怪:30 | 时长:15.9s,海滩波次 | 层:1 | 波次:44 | 小怪:30 | 时长:15.9s,1,0,0
60145,Normal,BeachBreakout,45,1,Monster,普通敌人,Ground,地面,Enemy_BonusGoldMiner_BeachBreakout,,856622,0,0,1.4,0,0,0,海滩波次 | 层:1 | 波次:45 | 小怪:30 | 时长:15.9s,海滩波次 | 层:1 | 波次:45 | 小怪:30 | 时长:15.9s,1,0,0
60146,Normal,BeachBreakout,46,1,Monster,普通敌人,Ground,地面,Enemy_Wizard_BeachBreakout,,1113602,0,0,1.4,0,0,0,海滩波次 | 层:1 | 波次:46 | 小怪:30 | 时长:15.9s,海滩波次 | 层:1 | 波次:46 | 小怪:30 | 时长:15.9s,1,0,0
60147,Normal,BeachBreakout,47,1,Monster,普通敌人,Ground,地面,Enemy_Warrior_BeachBreakout,,1447686,0,0,1.4,0,0,0,海滩波次 | 层:1 | 波次:47 | 小怪:30 | 时长:15.9s,海滩波次 | 层:1 | 波次:47 | 小怪:30 | 时长:15.9s,1,0,0
60148,Normal,BeachBreakout,48,1,Monster,普通敌人,Ground,地面,Enemy_Thief_BeachBreakout,,1881994,0,0,1.4,0,0,0,海滩波次 | 层:1 | 波次:48 | 小怪:30 | 时长:15.9s,海滩波次 | 层:1 | 波次:48 | 小怪:30 | 时长:15.9s,1,0,0
60149,Normal,BeachBreakout,49,1,Monster,普通敌人,Ground,地面,Enemy_Viking_BeachBreakout,,2446589,0,0,1.4,0,0,0,海滩波次 | 层:1 | 波次:49 | 小怪:30 | 时长:15.9s,海滩波次 | 层:1 | 波次:49 | 小怪:30 | 时长:15.9s,1,0,0
60201,Normal,BeachBreakout,1,2,Monster,普通敌人,Ground,地面,Enemy_Archer_BeachBreakout,,43,0,0,1,0,0,0,海滩波次 | 层:2 | 波次:1 | 小怪:30 | 时长:10.9s,海滩波次 | 层:2 | 波次:1 | 小怪:30 | 时长:10.9s,1,0,0
60202,Normal,BeachBreakout,2,2,Monster,普通敌人,Ground,地面,Enemy_Thief_BeachBreakout,,68,0,0,1,0,0,0,海滩波次 | 层:2 | 波次:2 | 小怪:30 | 时长:10.9s,海滩波次 | 层:2 | 波次:2 | 小怪:30 | 时长:10.9s,1,0,0
60203,Normal,BeachBreakout,3,2,Monster,普通敌人,Ground,地面,Enemy_Viking_BeachBreakout,,94,0,0,1,0,0,0,海滩波次 | 层:2 | 波次:3 | 小怪:30 | 时长:10.9s,海滩波次 | 层:2 | 波次:3 | 小怪:30 | 时长:10.9s,1,0,0
60204,Normal,BeachBreakout,4,2,Monster,普通敌人,Ground,地面,Enemy_Warrior_BeachBreakout,,145,0,0,1,0,0,0,海滩波次 | 层:2 | 波次:4 | 小怪:30 | 时长:10.9s,海滩波次 | 层:2 | 波次:4 | 小怪:30 | 时长:10.9s,1,0,0
60205,Normal,BeachBreakout,5,2,Monster,普通敌人,Ground,地面,Enemy_BonusGoldMiner_BeachBreakout,,221,0,0,1,0,0,0,海滩波次 | 层:2 | 波次:5 | 小怪:30 | 时长:10.9s,海滩波次 | 层:2 | 波次:5 | 小怪:30 | 时长:10.9s,1,0,0
60206,Normal,BeachBreakout,6,2,Monster,普通敌人,Ground,地面,Enemy_Wizard_BeachBreakout,,332,0,0,1,0,0,0,海滩波次 | 层:2 | 波次:6 | 小怪:30 | 时长:10.9s,海滩波次 | 层:2 | 波次:6 | 小怪:30 | 时长:10.9s,1,0,0
60207,Normal,BeachBreakout,7,2,Monster,普通敌人,Ground,地面,Enemy_Warrior_BeachBreakout,,493,0,0,1,0,0,0,海滩波次 | 层:2 | 波次:7 | 小怪:30 | 时长:10.9s,海滩波次 | 层:2 | 波次:7 | 小怪:30 | 时长:10.9s,1,0,0
60208,Normal,BeachBreakout,8,2,Monster,普通敌人,Ground,地面,Enemy_Thief_BeachBreakout,,740,0,0,1,0,0,0,海滩波次 | 层:2 | 波次:8 | 小怪:30 | 时长:10.9s,海滩波次 | 层:2 | 波次:8 | 小怪:30 | 时长:10.9s,1,0,0
60209,Normal,BeachBreakout,9,2,Monster,普通敌人,Ground,地面,Enemy_Viking_BeachBreakout,,1114,0,0,1,0,0,0,海滩波次 | 层:2 | 波次:9 | 小怪:30 | 时长:10.9s,海滩波次 | 层:2 | 波次:9 | 小怪:30 | 时长:10.9s,1,0,0
60211,Normal,BeachBreakout,11,2,Monster,普通敌人,Ground,地面,Enemy_Archer_BeachBreakout,,1224,0,0,1.1,0,0,0,海滩波次 | 层:2 | 波次:11 | 小怪:30 | 时长:10.9s,海滩波次 | 层:2 | 波次:11 | 小怪:30 | 时长:10.9s,1,0,0
60212,Normal,BeachBreakout,12,2,Monster,普通敌人,Ground,地面,Enemy_Thief_BeachBreakout,,1590,0,0,1.1,0,0,0,海滩波次 | 层:2 | 波次:12 | 小怪:30 | 时长:10.9s,海滩波次 | 层:2 | 波次:12 | 小怪:30 | 时长:10.9s,1,0,0
60213,Normal,BeachBreakout,13,2,Monster,普通敌人,Ground,地面,Enemy_Viking_BeachBreakout,,2066,0,0,1.1,0,0,0,海滩波次 | 层:2 | 波次:13 | 小怪:30 | 时长:10.9s,海滩波次 | 层:2 | 波次:13 | 小怪:30 | 时长:10.9s,1,0,0
60214,Normal,BeachBreakout,14,2,Monster,普通敌人,Ground,地面,Enemy_Warrior_BeachBreakout,,2686,0,0,1.1,0,0,0,海滩波次 | 层:2 | 波次:14 | 小怪:30 | 时长:10.9s,海滩波次 | 层:2 | 波次:14 | 小怪:30 | 时长:10.9s,1,0,0
60215,Normal,BeachBreakout,15,2,Monster,普通敌人,Ground,地面,Enemy_BonusGoldMiner_BeachBreakout,,3494,0,0,1.1,0,0,0,海滩波次 | 层:2 | 波次:15 | 小怪:30 | 时长:10.9s,海滩波次 | 层:2 | 波次:15 | 小怪:30 | 时长:10.9s,1,0,0
60216,Normal,BeachBreakout,16,2,Monster,普通敌人,Ground,地面,Enemy_Wizard_BeachBreakout,,4539,0,0,1.1,0,0,0,海滩波次 | 层:2 | 波次:16 | 小怪:30 | 时长:10.9s,海滩波次 | 层:2 | 波次:16 | 小怪:30 | 时长:10.9s,1,0,0
60217,Normal,BeachBreakout,17,2,Monster,普通敌人,Ground,地面,Enemy_Warrior_BeachBreakout,,5899,0,0,1.1,0,0,0,海滩波次 | 层:2 | 波次:17 | 小怪:30 | 时长:10.9s,海滩波次 | 层:2 | 波次:17 | 小怪:30 | 时长:10.9s,1,0,0
60218,Normal,BeachBreakout,18,2,Monster,普通敌人,Ground,地面,Enemy_Thief_BeachBreakout,,7667,0,0,1.1,0,0,0,海滩波次 | 层:2 | 波次:18 | 小怪:30 | 时长:10.9s,海滩波次 | 层:2 | 波次:18 | 小怪:30 | 时长:10.9s,1,0,0
60219,Normal,BeachBreakout,19,2,Monster,普通敌人,Ground,地面,Enemy_Viking_BeachBreakout,,9971,0,0,1.1,0,0,0,海滩波次 | 层:2 | 波次:19 | 小怪:30 | 时长:10.9s,海滩波次 | 层:2 | 波次:19 | 小怪:30 | 时长:10.9s,1,0,0
60221,Normal,BeachBreakout,21,2,Monster,普通敌人,Ground,地面,Enemy_Archer_BeachBreakout,,10965,0,0,1.2,0,0,0,海滩波次 | 层:2 | 波次:21 | 小怪:30 | 时长:12.9s,海滩波次 | 层:2 | 波次:21 | 小怪:30 | 时长:12.9s,1,0,0
60222,Normal,BeachBreakout,22,2,Monster,普通敌人,Ground,地面,Enemy_Thief_BeachBreakout,,14255,0,0,1.2,0,0,0,海滩波次 | 层:2 | 波次:22 | 小怪:30 | 时长:12.9s,海滩波次 | 层:2 | 波次:22 | 小怪:30 | 时长:12.9s,1,0,0
60223,Normal,BeachBreakout,23,2,Monster,普通敌人,Ground,地面,Enemy_Viking_BeachBreakout,,17816,0,0,1.2,0,0,0,海滩波次 | 层:2 | 波次:23 | 小怪:30 | 时长:12.9s,海滩波次 | 层:2 | 波次:23 | 小怪:30 | 时长:12.9s,1,0,0
60224,Normal,BeachBreakout,24,2,Monster,普通敌人,Ground,地面,Enemy_Warrior_BeachBreakout,,22279,0,0,1.2,0,0,0,海滩波次 | 层:2 | 波次:24 | 小怪:30 | 时长:12.9s,海滩波次 | 层:2 | 波次:24 | 小怪:30 | 时长:12.9s,1,0,0
60225,Normal,BeachBreakout,25,2,Monster,普通敌人,Ground,地面,Enemy_BonusGoldMiner_BeachBreakout,,27846,0,0,1.2,0,0,0,海滩波次 | 层:2 | 波次:25 | 小怪:30 | 时长:12.9s,海滩波次 | 层:2 | 波次:25 | 小怪:30 | 时长:12.9s,1,0,0
60226,Normal,BeachBreakout,26,2,Monster,普通敌人,Ground,地面,Enemy_Wizard_BeachBreakout,,34808,0,0,1.2,0,0,0,海滩波次 | 层:2 | 波次:26 | 小怪:30 | 时长:12.9s,海滩波次 | 层:2 | 波次:26 | 小怪:30 | 时长:12.9s,1,0,0
60227,Normal,BeachBreakout,27,2,Monster,普通敌人,Ground,地面,Enemy_Warrior_BeachBreakout,,43503,0,0,1.2,0,0,0,海滩波次 | 层:2 | 波次:27 | 小怪:30 | 时长:12.9s,海滩波次 | 层:2 | 波次:27 | 小怪:30 | 时长:12.9s,1,0,0
60228,Normal,BeachBreakout,28,2,Monster,普通敌人,Ground,地面,Enemy_Thief_BeachBreakout,,54383,0,0,1.2,0,0,0,海滩波次 | 层:2 | 波次:28 | 小怪:30 | 时长:12.9s,海滩波次 | 层:2 | 波次:28 | 小怪:30 | 时长:12.9s,1,0,0
60229,Normal,BeachBreakout,29,2,Monster,普通敌人,Ground,地面,Enemy_Viking_BeachBreakout,,67975,0,0,1.2,0,0,0,海滩波次 | 层:2 | 波次:29 | 小怪:30 | 时长:12.9s,海滩波次 | 层:2 | 波次:29 | 小怪:30 | 时长:12.9s,1,0,0
60231,Normal,BeachBreakout,31,2,Monster,普通敌人,Ground,地面,Enemy_Archer_BeachBreakout,,74775,0,0,1.3,0,0,0,海滩波次 | 层:2 | 波次:31 | 小怪:30 | 时长:12.9s,海滩波次 | 层:2 | 波次:31 | 小怪:30 | 时长:12.9s,1,0,0
60232,Normal,BeachBreakout,32,2,Monster,普通敌人,Ground,地面,Enemy_Thief_BeachBreakout,,97206,0,0,1.3,0,0,0,海滩波次 | 层:2 | 波次:32 | 小怪:30 | 时长:12.9s,海滩波次 | 层:2 | 波次:32 | 小怪:30 | 时长:12.9s,1,0,0
60233,Normal,BeachBreakout,33,2,Monster,普通敌人,Ground,地面,Enemy_Viking_BeachBreakout,,121508,0,0,1.3,0,0,0,海滩波次 | 层:2 | 波次:33 | 小怪:30 | 时长:12.9s,海滩波次 | 层:2 | 波次:33 | 小怪:30 | 时长:12.9s,1,0,0
60234,Normal,BeachBreakout,34,2,Monster,普通敌人,Ground,地面,Enemy_Warrior_BeachBreakout,,151887,0,0,1.3,0,0,0,海滩波次 | 层:2 | 波次:34 | 小怪:30 | 时长:12.9s,海滩波次 | 层:2 | 波次:34 | 小怪:30 | 时长:12.9s,1,0,0
60235,Normal,BeachBreakout,35,2,Monster,普通敌人,Ground,地面,Enemy_BonusGoldMiner_BeachBreakout,,189856,0,0,1.3,0,0,0,海滩波次 | 层:2 | 波次:35 | 小怪:30 | 时长:12.9s,海滩波次 | 层:2 | 波次:35 | 小怪:30 | 时长:12.9s,1,0,0
60236,Normal,BeachBreakout,36,2,Monster,普通敌人,Ground,地面,Enemy_Wizard_BeachBreakout,,237320,0,0,1.3,0,0,0,海滩波次 | 层:2 | 波次:36 | 小怪:30 | 时长:12.9s,海滩波次 | 层:2 | 波次:36 | 小怪:30 | 时长:12.9s,1,0,0
60237,Normal,BeachBreakout,37,2,Monster,普通敌人,Ground,地面,Enemy_Warrior_BeachBreakout,,296659,0,0,1.3,0,0,0,海滩波次 | 层:2 | 波次:37 | 小怪:30 | 时长:12.9s,海滩波次 | 层:2 | 波次:37 | 小怪:30 | 时长:12.9s,1,0,0
60238,Normal,BeachBreakout,38,2,Monster,普通敌人,Ground,地面,Enemy_Thief_BeachBreakout,,370821,0,0,1.3,0,0,0,海滩波次 | 层:2 | 波次:38 | 小怪:30 | 时长:12.9s,海滩波次 | 层:2 | 波次:38 | 小怪:30 | 时长:12.9s,1,0,0
60239,Normal,BeachBreakout,39,2,Monster,普通敌人,Ground,地面,Enemy_Viking_BeachBreakout,,463522,0,0,1.3,0,0,0,海滩波次 | 层:2 | 波次:39 | 小怪:30 | 时长:12.9s,海滩波次 | 层:2 | 波次:39 | 小怪:30 | 时长:12.9s,1,0,0
60241,Normal,BeachBreakout,41,2,Monster,普通敌人,Ground,地面,Enemy_Archer_BeachBreakout,,509873,0,0,1.4,0,0,0,海滩波次 | 层:2 | 波次:41 | 小怪:30 | 时长:15.9s,海滩波次 | 层:2 | 波次:41 | 小怪:30 | 时长:15.9s,1,0,0
60242,Normal,BeachBreakout,42,2,Monster,普通敌人,Ground,地面,Enemy_Thief_BeachBreakout,,662839,0,0,1.4,0,0,0,海滩波次 | 层:2 | 波次:42 | 小怪:30 | 时长:15.9s,海滩波次 | 层:2 | 波次:42 | 小怪:30 | 时长:15.9s,1,0,0
60243,Normal,BeachBreakout,43,2,Monster,普通敌人,Ground,地面,Enemy_Viking_BeachBreakout,,861688,0,0,1.4,0,0,0,海滩波次 | 层:2 | 波次:43 | 小怪:30 | 时长:15.9s,海滩波次 | 层:2 | 波次:43 | 小怪:30 | 时长:15.9s,1,0,0
60244,Normal,BeachBreakout,44,2,Monster,普通敌人,Ground,地面,Enemy_Warrior_BeachBreakout,,1120198,0,0,1.4,0,0,0,海滩波次 | 层:2 | 波次:44 | 小怪:30 | 时长:15.9s,海滩波次 | 层:2 | 波次:44 | 小怪:30 | 时长:15.9s,1,0,0
60245,Normal,BeachBreakout,45,2,Monster,普通敌人,Ground,地面,Enemy_BonusGoldMiner_BeachBreakout,,1456254,0,0,1.4,0,0,0,海滩波次 | 层:2 | 波次:45 | 小怪:30 | 时长:15.9s,海滩波次 | 层:2 | 波次:45 | 小怪:30 | 时长:15.9s,1,0,0
60246,Normal,BeachBreakout,46,2,Monster,普通敌人,Ground,地面,Enemy_Wizard_BeachBreakout,,1893129,0,0,1.4,0,0,0,海滩波次 | 层:2 | 波次:46 | 小怪:30 | 时长:15.9s,海滩波次 | 层:2 | 波次:46 | 小怪:30 | 时长:15.9s,1,0,0
60247,Normal,BeachBreakout,47,2,Monster,普通敌人,Ground,地面,Enemy_Warrior_BeachBreakout,,2461073,0,0,1.4,0,0,0,海滩波次 | 层:2 | 波次:47 | 小怪:30 | 时长:15.9s,海滩波次 | 层:2 | 波次:47 | 小怪:30 | 时长:15.9s,1,0,0
60248,Normal,BeachBreakout,48,2,Monster,普通敌人,Ground,地面,Enemy_Thief_BeachBreakout,,3199392,0,0,1.4,0,0,0,海滩波次 | 层:2 | 波次:48 | 小怪:30 | 时长:15.9s,海滩波次 | 层:2 | 波次:48 | 小怪:30 | 时长:15.9s,1,0,0
